title,artist,album,isrc,upc,spotify_url,local_path,filename
Water feat Justin Helmer (Mastered with Thunder at 90pct),Excavationpro,12,QZ-S63-24-83496,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\12\Water feat Justin Helmer (Mastered with Thunder at 90pct) QZS632483496.wav,Water feat Justin Helmer (Mastered with Thunder at 90pct) QZS632483496.wav
Invasion instrumental,Excavationpro,New folder,QZ-S63-24-85494,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\13\New folder\Invasion instrumental QZS632485494.wav,Invasion instrumental QZS632485494.wav
Blowing up clean beat,Excavationpro,Done,QZ-S63-24-90025,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\9\New folder\Done\Blowing up clean beat QZS632490025.wav,Blowing up clean beat QZS632490025.wav
Doomer,Excavationpro,Done,QZ-S63-24-90908,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Doomer QZS632490908.wav,Doomer QZS632490908.wav
Champion instrumental,Excavationpro,New folder,QZ-S63-24-93279,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\14\New folder\New folder\Champion instrumental QZS632493279.wav,Champion instrumental QZS632493279.wav
Cobra,Excavationpro,Done,QZ-S63-24-99729,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\10\New folder\Done\Cobra QZS632499729.wav,Cobra QZS632499729.wav
Midnight Vices,Excavationpro,Done,QZ-S63-25-06313,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Done\Midnight Vices QZS632506313.wav,Midnight Vices QZS632506313.wav
Laser Blaster,Excavationpro,Done,QZ-S63-25-07496,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\5\Done\Laser Blaster QZS632507496.wav,Laser Blaster QZS632507496.wav
hd Firefly Lights feat Justin Helmer,Excavationpro,Done,QZ-S63-25-21424,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\2\Done\hd_Firefly Lights feat Justin Helmer QZS632521424.wav,hd_Firefly Lights feat Justin Helmer QZS632521424.wav
Quantum Tears,Excavationpro,Done,QZ-S63-25-64852,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\3\Done\Quantum Tears QZS632564852.wav,Quantum Tears QZS632564852.wav
Biological Activities feat Justin Helmer Grafezzy (Mastered with Sunroof at 95pct),Excavationpro,4,QZ-S63-25-69016,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\4\Biological Activities feat Justin Helmer Grafezzy (Mastered with Sunroof at 95pct) QZS632569016.wav,Biological Activities feat Justin Helmer Grafezzy (Mastered with Sunroof at 95pct) QZS632569016.wav
TITAN PROBE (Mastered with Aurora at 95pct),Excavationpro,Done,QZ-S64-21-15708,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 39\Done\TITAN PROBE (Mastered with Aurora at 95pct) QZS642115708.wav,TITAN PROBE (Mastered with Aurora at 95pct) QZS642115708.wav
Augmented Reality,Excavationpro,Done,QZ-S64-21-24608,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Augmented Reality QZS642124608.wav,Augmented Reality QZS642124608.wav
GoldDiggers,Excavationpro,PG 40 Done,QZ-S64-21-33993,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\GoldDiggers QZS642133993.wav,GoldDiggers QZS642133993.wav
Road Tripn,Excavationpro,PG 40 Done,QZ-S64-21-46027,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 40 Done\Road Tripn QZS642146027.wav,Road Tripn QZS642146027.wav
Love Language,Excavationpro,Done,QZ-S64-21-97686,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\PG 38\Done\Love Language QZS642197686.wav,Love Language QZS642197686.wav
La Proxima Vez ft Ashesndreams,Excavationpro,Done,QZ-S64-22-05297,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\30\Vocals\Done\La Proxima Vez ft Ashesndreams QZS642205297.wav,La Proxima Vez ft Ashesndreams QZS642205297.wav
Survival Rate Instrumental Beat,Excavationpro,Instrumentals,QZ-S64-22-06676,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\1 SOUNDCLOUD  DISTRO KID\0 DONE ALBUM\18\Instrumentals\Survival Rate Instrumental Beat QZS642206676.wav,Survival Rate Instrumental Beat QZS642206676.wav
Madaymine Lik,Excavationpro,Done,QZ-S64-22-06983,,,J:\ALL SOUND FILES\. KICK STREAM FOLDER\HOME\HOME\1 SOUNDCLOUD  DISTRO KID\31\Vocals\Done\Madaymine Lik QZS642206983.wav,Madaymine Lik QZS642206983.wav
